composed_utterance,composed_formulas,base_utterances,base_formulas
"reach a then go to b, in addition you must never go to a",& F & a F b G ! a,"('reach a then go to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition a should never be reached",& F & a F b G ! a,"('reach a then go to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition a must be avoided",& F & a F b G ! a,"('reach a then go to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition never visit a",& F & a F b G ! a,"('reach a then go to b', 'never visit a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('reach a then go to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition you can not go to a",& F & a F b G ! a,"('reach a then go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition avoid a forever",& F & a F b G ! a,"('reach a then go to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition do not make any single visit to a",& F & a F b G ! a,"('reach a then go to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition you can not go to a",& F & a F b G ! a,"('reach a then go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition never let a hold",& F & a F b G ! a,"('reach a then go to b', 'never let a hold')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition a should never become true",& F & a F b G ! a,"('reach a then go to b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition never go to a",& F & a F b G ! a,"('go to a then reach b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition do not go to a",& F & a F b G ! a,"('go to a then reach b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a then reach b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a then reach b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition always keep away from a",& F & a F b G ! a,"('go to a then reach b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition never visit a",& F & a F b G ! a,"('go to a then reach b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you can never go to a",& F & a F b G ! a,"('go to a then reach b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition always stay away from a",& F & a F b G ! a,"('go to a then reach b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition always avoid going to a",& F & a F b G ! a,"('go to a then reach b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a then reach b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a then reach b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a then reach b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition avoid going to a",& F & a F b G ! a,"('go to a then reach b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you must never go to a",& F & a F b G ! a,"('go to a then reach b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition a should never be reached",& F & a F b G ! a,"('go to a then reach b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition a must be avoided",& F & a F b G ! a,"('go to a then reach b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition never visit a",& F & a F b G ! a,"('go to a then reach b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a then reach b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you can not go to a",& F & a F b G ! a,"('go to a then reach b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition avoid a forever",& F & a F b G ! a,"('go to a then reach b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a then reach b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition you can not go to a",& F & a F b G ! a,"('go to a then reach b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition never let a hold",& F & a F b G ! a,"('go to a then reach b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a then reach b, in addition a should never become true",& F & a F b G ! a,"('go to a then reach b', 'a should never become true')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never go to a",& F & a F b G ! a,"('visit a then visit b', 'never go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition do not go to a",& F & a F b G ! a,"('visit a then visit b', 'do not go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can go anywhere but a",& F & a F b G ! a,"('visit a then visit b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a can not be visited at any time",& F & a F b G ! a,"('visit a then visit b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition always keep away from a",& F & a F b G ! a,"('visit a then visit b', 'always keep away from a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never visit a",& F & a F b G ! a,"('visit a then visit b', 'never visit a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can never go to a",& F & a F b G ! a,"('visit a then visit b', 'you can never go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition always stay away from a",& F & a F b G ! a,"('visit a then visit b', 'always stay away from a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition always avoid going to a",& F & a F b G ! a,"('visit a then visit b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('visit a then visit b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition make sure you never visit a",& F & a F b G ! a,"('visit a then visit b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can not go to a at any time",& F & a F b G ! a,"('visit a then visit b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition avoid going to a",& F & a F b G ! a,"('visit a then visit b', 'avoid going to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you must never go to a",& F & a F b G ! a,"('visit a then visit b', 'you must never go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a should never be reached",& F & a F b G ! a,"('visit a then visit b', 'a should never be reached')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a must be avoided",& F & a F b G ! a,"('visit a then visit b', 'a must be avoided')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never visit a",& F & a F b G ! a,"('visit a then visit b', 'never visit a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you must avoid a at all costs",& F & a F b G ! a,"('visit a then visit b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can not go to a",& F & a F b G ! a,"('visit a then visit b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition avoid a forever",& F & a F b G ! a,"('visit a then visit b', 'avoid a forever')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition do not make any single visit to a",& F & a F b G ! a,"('visit a then visit b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition you can not go to a",& F & a F b G ! a,"('visit a then visit b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition never let a hold",& F & a F b G ! a,"('visit a then visit b', 'never let a hold')","('F & a F b', 'G ! a')"
"visit a then visit b, in addition a should never become true",& F & a F b G ! a,"('visit a then visit b', 'a should never become true')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition never go to a",& F & a F b G ! a,"('visit a followed by b', 'never go to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition do not go to a",& F & a F b G ! a,"('visit a followed by b', 'do not go to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you can go anywhere but a",& F & a F b G ! a,"('visit a followed by b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition a can not be visited at any time",& F & a F b G ! a,"('visit a followed by b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition always keep away from a",& F & a F b G ! a,"('visit a followed by b', 'always keep away from a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition never visit a",& F & a F b G ! a,"('visit a followed by b', 'never visit a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you can never go to a",& F & a F b G ! a,"('visit a followed by b', 'you can never go to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition always stay away from a",& F & a F b G ! a,"('visit a followed by b', 'always stay away from a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition always avoid going to a",& F & a F b G ! a,"('visit a followed by b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('visit a followed by b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition make sure you never visit a",& F & a F b G ! a,"('visit a followed by b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you can not go to a at any time",& F & a F b G ! a,"('visit a followed by b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition avoid going to a",& F & a F b G ! a,"('visit a followed by b', 'avoid going to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you must never go to a",& F & a F b G ! a,"('visit a followed by b', 'you must never go to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition a should never be reached",& F & a F b G ! a,"('visit a followed by b', 'a should never be reached')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition a must be avoided",& F & a F b G ! a,"('visit a followed by b', 'a must be avoided')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition never visit a",& F & a F b G ! a,"('visit a followed by b', 'never visit a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you must avoid a at all costs",& F & a F b G ! a,"('visit a followed by b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you can not go to a",& F & a F b G ! a,"('visit a followed by b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition avoid a forever",& F & a F b G ! a,"('visit a followed by b', 'avoid a forever')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition do not make any single visit to a",& F & a F b G ! a,"('visit a followed by b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition you can not go to a",& F & a F b G ! a,"('visit a followed by b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition never let a hold",& F & a F b G ! a,"('visit a followed by b', 'never let a hold')","('F & a F b', 'G ! a')"
"visit a followed by b, in addition a should never become true",& F & a F b G ! a,"('visit a followed by b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a then b, in addition never go to a",& F & a F b G ! a,"('go to a then b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition do not go to a",& F & a F b G ! a,"('go to a then b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a then b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a then b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a then b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a then b, in addition always keep away from a",& F & a F b G ! a,"('go to a then b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a then b, in addition never visit a",& F & a F b G ! a,"('go to a then b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can never go to a",& F & a F b G ! a,"('go to a then b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition always stay away from a",& F & a F b G ! a,"('go to a then b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a then b, in addition always avoid going to a",& F & a F b G ! a,"('go to a then b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a then b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a then b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a then b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a then b, in addition avoid going to a",& F & a F b G ! a,"('go to a then b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you must never go to a",& F & a F b G ! a,"('go to a then b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition a should never be reached",& F & a F b G ! a,"('go to a then b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a then b, in addition a must be avoided",& F & a F b G ! a,"('go to a then b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a then b, in addition never visit a",& F & a F b G ! a,"('go to a then b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a then b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can not go to a",& F & a F b G ! a,"('go to a then b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition avoid a forever",& F & a F b G ! a,"('go to a then b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a then b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a then b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can not go to a",& F & a F b G ! a,"('go to a then b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition never let a hold",& F & a F b G ! a,"('go to a then b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a then b, in addition a should never become true",& F & a F b G ! a,"('go to a then b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition never go to a",& F & a F b G ! a,"('go to b after visiting a', 'never go to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition do not go to a",& F & a F b G ! a,"('go to b after visiting a', 'do not go to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you can go anywhere but a",& F & a F b G ! a,"('go to b after visiting a', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition a can not be visited at any time",& F & a F b G ! a,"('go to b after visiting a', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition always keep away from a",& F & a F b G ! a,"('go to b after visiting a', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition never visit a",& F & a F b G ! a,"('go to b after visiting a', 'never visit a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you can never go to a",& F & a F b G ! a,"('go to b after visiting a', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition always stay away from a",& F & a F b G ! a,"('go to b after visiting a', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition always avoid going to a",& F & a F b G ! a,"('go to b after visiting a', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to b after visiting a', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition make sure you never visit a",& F & a F b G ! a,"('go to b after visiting a', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you can not go to a at any time",& F & a F b G ! a,"('go to b after visiting a', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition avoid going to a",& F & a F b G ! a,"('go to b after visiting a', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you must never go to a",& F & a F b G ! a,"('go to b after visiting a', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition a should never be reached",& F & a F b G ! a,"('go to b after visiting a', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition a must be avoided",& F & a F b G ! a,"('go to b after visiting a', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition never visit a",& F & a F b G ! a,"('go to b after visiting a', 'never visit a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to b after visiting a', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you can not go to a",& F & a F b G ! a,"('go to b after visiting a', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition avoid a forever",& F & a F b G ! a,"('go to b after visiting a', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition do not make any single visit to a",& F & a F b G ! a,"('go to b after visiting a', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition you can not go to a",& F & a F b G ! a,"('go to b after visiting a', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition never let a hold",& F & a F b G ! a,"('go to b after visiting a', 'never let a hold')","('F & a F b', 'G ! a')"
"go to b after visiting a, in addition a should never become true",& F & a F b G ! a,"('go to b after visiting a', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition never go to a",& F & a F b G ! a,"('go to a and then to b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition do not go to a",& F & a F b G ! a,"('go to a and then to b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a and then to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a and then to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition always keep away from a",& F & a F b G ! a,"('go to a and then to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition never visit a",& F & a F b G ! a,"('go to a and then to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you can never go to a",& F & a F b G ! a,"('go to a and then to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition always stay away from a",& F & a F b G ! a,"('go to a and then to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition always avoid going to a",& F & a F b G ! a,"('go to a and then to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a and then to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a and then to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a and then to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition avoid going to a",& F & a F b G ! a,"('go to a and then to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you must never go to a",& F & a F b G ! a,"('go to a and then to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition a should never be reached",& F & a F b G ! a,"('go to a and then to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition a must be avoided",& F & a F b G ! a,"('go to a and then to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition never visit a",& F & a F b G ! a,"('go to a and then to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a and then to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you can not go to a",& F & a F b G ! a,"('go to a and then to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition avoid a forever",& F & a F b G ! a,"('go to a and then to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a and then to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition you can not go to a",& F & a F b G ! a,"('go to a and then to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition never let a hold",& F & a F b G ! a,"('go to a and then to b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a and then to b, in addition a should never become true",& F & a F b G ! a,"('go to a and then to b', 'a should never become true')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition never go to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'never go to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition do not go to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'do not go to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you can go anywhere but a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition a can not be visited at any time",& F & a F b G ! a,"('make sure to go to b after you visit a', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition always keep away from a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'always keep away from a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition never visit a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'never visit a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you can never go to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you can never go to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition always stay away from a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'always stay away from a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition always avoid going to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'always avoid going to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you have to avoid a at all costs",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition make sure you never visit a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you can not go to a at any time",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition avoid going to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'avoid going to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you must never go to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you must never go to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition a should never be reached",& F & a F b G ! a,"('make sure to go to b after you visit a', 'a should never be reached')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition a must be avoided",& F & a F b G ! a,"('make sure to go to b after you visit a', 'a must be avoided')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition never visit a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'never visit a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you must avoid a at all costs",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you can not go to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you can not go to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition avoid a forever",& F & a F b G ! a,"('make sure to go to b after you visit a', 'avoid a forever')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition do not make any single visit to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition you can not go to a",& F & a F b G ! a,"('make sure to go to b after you visit a', 'you can not go to a')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition never let a hold",& F & a F b G ! a,"('make sure to go to b after you visit a', 'never let a hold')","('F & a F b', 'G ! a')"
"make sure to go to b after you visit a, in addition a should never become true",& F & a F b G ! a,"('make sure to go to b after you visit a', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition never go to a",& F & a F b G ! a,"('go to a finally go to b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition do not go to a",& F & a F b G ! a,"('go to a finally go to b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a finally go to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a finally go to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition always keep away from a",& F & a F b G ! a,"('go to a finally go to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition never visit a",& F & a F b G ! a,"('go to a finally go to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you can never go to a",& F & a F b G ! a,"('go to a finally go to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition always stay away from a",& F & a F b G ! a,"('go to a finally go to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition always avoid going to a",& F & a F b G ! a,"('go to a finally go to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a finally go to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a finally go to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a finally go to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition avoid going to a",& F & a F b G ! a,"('go to a finally go to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you must never go to a",& F & a F b G ! a,"('go to a finally go to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition a should never be reached",& F & a F b G ! a,"('go to a finally go to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition a must be avoided",& F & a F b G ! a,"('go to a finally go to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition never visit a",& F & a F b G ! a,"('go to a finally go to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a finally go to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you can not go to a",& F & a F b G ! a,"('go to a finally go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition avoid a forever",& F & a F b G ! a,"('go to a finally go to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a finally go to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition you can not go to a",& F & a F b G ! a,"('go to a finally go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition never let a hold",& F & a F b G ! a,"('go to a finally go to b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a finally go to b, in addition a should never become true",& F & a F b G ! a,"('go to a finally go to b', 'a should never become true')","('F & a F b', 'G ! a')"
"travel first to a and then make your way to b, in addition never go to a",& F & a F b G ! a,"('travel first to a and then make your way to b', 'never go to a')","('F & a F b', 'G ! a')"
