LTL template,Sentence,LTL
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Marston Hall,G ( ! Thayer St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Barus Building,G ( ! Thayer St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Citizen's Bank,G ( ! Thayer St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Barus Building,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Watson Center,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Marston Hall,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Watson Center,G ( ! Thayer St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Marston Hall,G ( ! Thayer St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Citizen's Bank,G ( ! Thayer St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Watson Center,G ( ! Thayer St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Barus Building,G ( ! Thayer St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Citizen's Bank,G ( ! Thayer St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Marston Hall,G ( ! Thayer St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Barus Building,G ( ! Thayer St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Citizen's Bank,G ( ! Thayer St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Barus Building,G ( ! Angell St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Watson Center,G ( ! Angell St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Marston Hall,G ( ! Angell St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Watson Center,G ( ! Angell St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Marston Hall,G ( ! Angell St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Citizen's Bank,G ( ! Angell St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Watson Center,G ( ! Angell St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Barus Building,G ( ! Angell St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Citizen's Bank,G ( ! Angell St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Marston Hall,G ( ! Angell St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Barus Building,G ( ! Angell St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Citizen's Bank,G ( ! Angell St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Barus Building,G ( ! Angell St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Watson Center,G ( ! Angell St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Marston Hall,G ( ! Angell St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Watson Center,G ( ! Angell St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Marston Hall,G ( ! Angell St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Citizen's Bank,G ( ! Angell St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Watson Center,G ( ! Angell St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Barus Building,G ( ! Angell St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Citizen's Bank,G ( ! Angell St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Marston Hall,G ( ! Angell St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Barus Building,G ( ! Angell St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Citizen's Bank,G ( ! Angell St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Chipotle and then find Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Bookstore and then find Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Chipotle and then find Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Bookstore and then find Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Chipotle and then find Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Bookstore and then find Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
